,0
126,EGAR00001652949
127,SRR8526725
128,EGAR00001652961
129,EGAR00001766741
130,EGAR00001652971
131,ned.SRR15409683
132,gned.SRR9879283
133,EGAR00001653039
134,EGAR00001653208
135,EGAR00001766759
136,ERR2498016
137,EGAR00001652944
138,EGAR00001652900
139,EGAR00001653173
140,EGAR00001653019
141,EGAR00001652919
142,EGAR00001652908
143,gned.SRR9879273
144,EGAR00001652974
145,EGAR00001653013
146,EGAR00001653125
147,EGAR00001652981
148,EGAR00001766744
149,ERR2498003
150,EGAR00001653206
151,gned.ERR2208971
152,gned.SRR5088843
153,EGAR00001766722
154,EGAR00001653178
155,gned.SRR3184299
156,EGAR00001652932
157,gned.SRR9879277
158,EGAR00001653207
159,EGAR00001766614
160,EGAR00001653163
161,SRR13853368
162,EGAR00001653142
163,SRR13853359
164,ned.SRR13853355
165,EGAR00001652930
166,ERR2208954
167,EGAR00001653165
168,EGAR00001653152
169,EGAR00001653095
170,EGAR00001653061
171,EGAR00001653000
172,gned.SRR3184281
173,ERR2498018
174,EGAR00001652989
175,gned.SRR9879276
176,EGAR00001653119
177,EGAR00001652996
178,gned.SRR5088831
179,EGAR00001653188
180,EGAR00001653176
181,EGAR00001653213
182,ERR2498009
183,EGAR00001652888
184,EGAR00001653184
185,ERR2498025
186,EGAR00001766660
187,EGAR00001766750
188,gned.ERR2208940
189,EGAR00001653201
190,ned.SRR13853375
191,SRR8526731
192,EGAR00001766799
193,EGAR00001652896
194,EGAR00001653075
195,EGAR00001653225
196,EGAR00001766695
197,EGAR00001652917
198,gned.SRR5088824
199,EGAR00001653112
200,EGAR00001653196
201,gned.SRR5088878
202,ERR2497996
203,EGAR00001652999
204,ERR2498001
205,EGAR00001766767
206,gned.SRR3184289
207,ned.SRR15409692
208,ERR2498033
209,gned.SRR5088815
210,EGAR00001653115
211,gned.SRR5088822
212,EGAR00001653123
213,EGAR00001653066
214,gned.SRR9879274
215,EGAR00001653089
216,ERR2498014
217,ERR2498006
218,EGAR00001653140
219,EGAR00001653132
220,gned.ERR2208951
221,EGAR00001766582
222,EGAR00001766578
223,EGAR00001653104
224,EGAR00001652956
225,EGAR00001653005
226,EGAR00001653175
227,ned.SRR15409695
228,gned.SRR5088856
229,EGAR00001766826
230,EGAR00001653081
231,EGAR00001766804
232,gned.SRR3184287
233,EGAR00001653141
234,EGAR00001652948
235,ned.SRR15409691
236,ERR2498027
237,ned.SRR13853358
238,EGAR00001653058
239,EGAR00001653067
240,EGAR00001653064
241,EGAR00001653057
242,EGAR00001653100
243,EGAR00001652940
244,ERR2497997
245,EGAR00001652994
246,gned.SRR3184279
247,EGAR00001653027
248,EGAR00001653191
249,EGAR00001652984
250,EGAR00001652998
251,EGAR00001652966
252,EGAR00001652995
253,gned.SRR5088839
254,ERR2208931
255,ERR2498019
256,EGAR00001653186
257,EGAR00001653130
258,gned.SRR5088898
259,ERR2498002
260,EGAR00001653153
261,ned.SRR15409704
262,SRR8526724
263,EGAR00001653230
264,EGAR00001653062
265,gned.SRR5088906
266,EGAR00001653021
267,EGAR00001766742
268,gned.SRR5088883
269,ERR2498007
270,SRR8526732
271,EGAR00001653109
272,EGAR00001766830
273,EGAR00001652909
274,gned.ERR2208962
275,SRR8526718
276,ERR2498026
277,EGAR00001652920
278,EGAR00001652915
279,gned.SRR7344554
280,EGAR00001653085
281,EGAR00001766705
282,EGAR00001766824
283,EGAR00001652957
284,EGAR00001653083
285,gned.SRR7344546
286,EGAR00001766829
287,EGAR00001766697
288,gned.SRR5088922
289,EGAR00001653059
290,EGAR00001652928
291,EGAR00001653217
292,EGAR00001766785
293,EGAR00001653147
294,gned.SRR3184298
295,EGAR00001653190
296,ned.SRR13853353
297,EGAR00001653131
298,EGAR00001766719
299,EGAR00001652903
300,EGAR00001766776
301,EGAR00001652943
302,EGAR00001766821
303,gned.SRR3184288
304,EGAR00001766787
305,EGAR00001652980
306,SRR8526728
307,EGAR00001653101
308,EGAR00001653093
309,gned.SRR3184306
310,gned.SRR5088904
311,gned.SRR5088853
312,EGAR00001766732
313,EGAR00001652890
314,EGAR00001652910
315,EGAR00001653020
316,EGAR00001653004
317,EGAR00001652960
318,EGAR00001766774
319,EGAR00001766820
320,EGAR00001653154
321,EGAR00001652992
322,EGAR00001653099
323,EGAR00001653205
324,EGAR00001766832
325,ERR2497993
326,gned.SRR7344567
327,gned.ERR2208930
328,ERR3262563
329,ERR2498013
330,EGAR00001653200
331,ned.SRR15069618
332,EGAR00001653129
333,EGAR00001653127
334,EGAR00001653202
335,EGAR00001766576
336,EGAR00001653017
337,EGAR00001653167
338,gned.SRR3184292
339,ERR2208945
340,EGAR00001653198
341,gned.SRR5088840
342,gned.ERR2208949
343,EGAR00001653226
344,EGAR00001766651
345,gned.SRR3184304
346,gned.ERR2208948
347,EGAR00001653001
348,gned.SRR9879284
349,gned.SRR5088849
350,ned.SRR15069604
351,EGAR00001653060
352,gned.SRR9879278
353,EGAR00001766698
354,ERR2498005
355,EGAR00001653014
356,EGAR00001653148
357,EGAR00001653160
358,gned.ERR2208959
359,EGAR00001652990
360,gned.ERR2208961
361,EGAR00001652972
362,gned.SRR5088909
363,EGAR00001766638
364,gned.SRR5088836
365,gned.SRR7344564
366,gned.ERR3262564
367,EGAR00001652905
368,EGAR00001766713
369,gned.SRR3184284
370,EGAR00001652965
371,ned.SRR15409698
372,gned.SRR5088819
373,EGAR00001766789
374,EGAR00001652929
375,EGAR00001653030
376,EGAR00001652892
377,gned.SRR5088867
378,ERR2497994
379,ERR2498020
380,gned.SRR5088866
381,EGAR00001653056
382,EGAR00001766835
383,EGAR00001652939
384,EGAR00001766825
385,EGAR00001653011
386,gned.ERR2208952
387,EGAR00001653220
388,gned.SRR5088821
389,EGAR00001766679
390,EGAR00001652964
391,gned.SRR3184300
392,EGAR00001653047
393,EGAR00001653117
394,EGAR00001766796
395,EGAR00001652906
396,EGAR00001652973
397,EGAR00001653143
398,EGAR00001653164
399,gned.SRR3184290
400,EGAR00001653145
401,SRR8526726
402,EGAR00001653181
403,EGAR00001653166
404,ERR2498030
405,gned.SRR9879286
406,EGAR00001653026
407,gned.SRR9879266
408,EGAR00001653156
409,ned.SRR15069602
410,EGAR00001653219
411,gned.SRR3184297
412,gned.SRR5088929
413,EGAR00001653194
414,gned.SRR5088826
415,SRR8526730
416,gned.SRR9879268
417,gned.ERR2208941
418,EGAR00001653180
419,EGAR00001653151
420,gned.ERR2208966
421,EGAR00001653134
422,gned.SRR9879290
423,EGAR00001653161
424,EGAR00001766581
425,gned.SRR5088861
426,EGAR00001652887
427,gned.SRR5088916
428,gned.SRR5088885
429,EGAR00001653121
430,gned.SRR3184301
431,EGAR00001653227
432,ERR2497995
433,EGAR00001652914
434,gned.SRR5088834
435,EGAR00001652901
436,EGAR00001652991
437,EGAR00001653128
438,EGAR00001653016
439,EGAR00001652953
440,ERR2498032
441,EGAR00001766743
442,EGAR00001653114
443,EGAR00001652976
444,gned.ERR2208935
445,ned.SRR15069620
446,EGAR00001766663
447,SRR8526721
448,EGAR00001653122
449,EGAR00001653158
450,EGAR00001766613
451,EGAR00001652924
452,gned.SRR3184302
453,gned.SRR5088891
454,EGAR00001652934
455,EGAR00001653146
456,EGAR00001766700
457,EGAR00001653171
458,gned.SRR5088850
459,gned.ERR2208972
460,EGAR00001652926
461,gned.SRR5088887
462,EGAR00001766579
463,gned.SRR9879285
464,gned.SRR7344565
465,EGAR00001653094
466,EGAR00001653192
467,EGAR00001653031
468,EGAR00001653172
469,EGAR00001766754
470,SRR8526727
471,EGAR00001652951
472,EGAR00001653212
473,ERR2497998
474,EGAR00001766699
475,EGAR00001766648
476,EGAR00001652898
477,ned.SRR15069612
478,EGAR00001652952
479,ERR2208967
480,gned.SRR9879271
481,gned.SRR5088846
482,EGAR00001653223
483,EGAR00001653199
484,ERR2498011
485,EGAR00001653162
486,EGAR00001653118
487,EGAR00001653022
488,EGAR00001653068
489,EGAR00001653002
490,SRR8526729
491,EGAR00001653139
492,EGAR00001652916
493,EGAR00001653015
494,gned.SRR9879287
495,EGAR00001653113
496,EGAR00001653204
497,ned.SRR15409701
498,EGAR00001766590
499,EGAR00001766680
500,gned.ERR2208970
501,EGAR00001652935
502,EGAR00001652969
503,gned.SRR9879269
504,gned.ERR2208956
505,gned.SRR3184291
506,EGAR00001653182
507,gned.SRR5088864
508,gned.SRR3184280
509,gned.SRR9879281
510,EGAR00001652963
511,EGAR00001653069
512,EGAR00001652968
513,EGAR00001653215
514,gned.ERR2208934
515,gned.SRR5088908
516,EGAR00001653091
517,EGAR00001653023
518,EGAR00001652895
519,gned.SRR5088900
520,EGAR00001652904
521,EGAR00001653102
522,gned.SRR9879282
523,gned.ERR2208939
